Invoice Number,Invoice Date,Due Date,Customer Name,Item Name,Item Description,Quantity,Item Price,Notes,Terms & Conditions
BOF-1001,07/05/2025,07/05/2025,Maria Santos,Roasted Lechon Large 60-69 lbs,Delivery - Birthday Party,1,575,Event: Birthday Party | Guests: 50 | Delivery | Seen on: Facebook | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1001,07/05/2025,07/05/2025,Maria Santos,Steamed Rice Full tray,,2,90,,
BOF-1001,07/05/2025,07/05/2025,Maria Santos,Pansit Canton Bihon Full tray,,1,190,,
BOF-1002,07/12/2025,07/12/2025,Jose Reyes,Roasted Lechon Belly (full rolls) 14-22 lbs,Pick-up - Wedding Celebration,1,260,Event: Wedding Celebration | Guests: 120 | Pick-up | Seen on: Instagram | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1002,07/12/2025,07/12/2025,Jose Reyes,Chop Suey Full tray,,1,250,,
BOF-1002,07/12/2025,07/12/2025,Jose Reyes,Shanghai Rolls Full tray,,1,180,,
BOF-1003,07/19/2025,07/19/2025,Ana Garcia,Roasted Cochinillo 12-15 lbs,Delivery - Corporate Function,1,450,Event: Corporate Function | Guests: 30 | Delivery | Seen on: Facebook | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1003,07/19/2025,07/19/2025,Ana Garcia,Steamed Rice Full tray,,1,90,,
BOF-1004,07/26/2025,07/26/2025,Pedro Cruz,Roasted Lechon Extra-large 70-80 lbs,On Site service - Anniversary Milestone,1,625,Event: Anniversary Milestone | Guests: 200 | On Site service | Seen on: TikTok | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1004,07/26/2025,07/26/2025,Pedro Cruz,Beef Kare Kare,,1,250,,
BOF-1004,07/26/2025,07/26/2025,Pedro Cruz,Steamed Rice Full tray,,3,90,,
BOF-1004,07/26/2025,07/26/2025,Pedro Cruz,Pansit Canton Bihon Full tray,,2,190,,
BOF-1005,08/02/2025,08/02/2025,Liza Bautista,Roasted Lechon Medium 50-59 lbs,Delivery - Birthday Party,1,525,Event: Birthday Party | Guests: 80 | Delivery | Seen on: Facebook | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1005,08/02/2025,08/02/2025,Liza Bautista,Pork Menudo,,1,220,,
BOF-1005,08/02/2025,08/02/2025,Liza Bautista,Steamed Rice Full tray,,1,90,,
BOF-1006,08/09/2025,08/09/2025,Ramon Dela Cruz,Roasted Lechon Belly (full rolls) 14-22 lbs,Delivery - Wedding Celebration,2,260,Event: Wedding Celebration | Guests: 150 | Delivery | Seen on: Instagram | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1006,08/09/2025,08/09/2025,Ramon Dela Cruz,Chop Suey Full tray,,1,250,,
BOF-1006,08/09/2025,08/09/2025,Ramon Dela Cruz,Pork Siomai Full tray,,1,250,,
BOF-1007,08/16/2025,08/16/2025,Cynthia Ramos,Roasted Lechon Belly 450g,Pick-up - Birthday Party,5,25,Event: Birthday Party | Guests: 60 | Pick-up | Seen on: Facebook | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1007,08/16/2025,08/16/2025,Cynthia Ramos,Steamed Rice Full tray,,1,90,,
BOF-1008,08/23/2025,08/23/2025,Eduardo Villanueva,Roasted Lechon Large 60-69 lbs,Delivery - Corporate Function,1,575,Event: Corporate Function | Guests: 100 | Delivery | Seen on: Facebook | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1008,08/23/2025,08/23/2025,Eduardo Villanueva,Beef Bistek Tagalog Full tray,,1,270,,
BOF-1008,08/23/2025,08/23/2025,Eduardo Villanueva,Shanghai Rolls Full tray,,1,180,,
BOF-1008,08/23/2025,08/23/2025,Eduardo Villanueva,Steamed Rice Full tray,,2,90,,
BOF-1009,08/30/2025,08/30/2025,Joanna Mendoza,Roasted Lechon De Leche 30-39 lbs,On Site service - Birthday Party,1,465,Event: Birthday Party | Guests: 75 | On Site service | Seen on: TikTok | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1009,08/30/2025,08/30/2025,Joanna Mendoza,Pansit Canton Bihon Full tray,,1,190,,
BOF-1009,08/30/2025,08/30/2025,Joanna Mendoza,Steamed Rice Full tray,,1,90,,
BOF-1010,09/06/2025,09/06/2025,Felix Torres,Roasted Lechon Extra-large 70-80 lbs,Delivery - Anniversary Milestone,1,625,Event: Anniversary Milestone | Guests: 180 | Delivery | Seen on: Instagram | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1010,09/06/2025,09/06/2025,Felix Torres,Beef Kare Kare,,1,250,,
BOF-1010,09/06/2025,09/06/2025,Felix Torres,Chop Suey Full tray,,1,250,,
BOF-1010,09/06/2025,09/06/2025,Felix Torres,Steamed Rice Full tray,,3,90,,
BOF-1011,09/13/2025,09/13/2025,Rosario Aquino,Roasted Lechon Medium 50-59 lbs,Delivery - Wedding Celebration,1,525,Event: Wedding Celebration | Guests: 90 | Delivery | Seen on: Facebook | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1011,09/13/2025,09/13/2025,Rosario Aquino,Shanghai Rolls Full tray,,2,180,,
BOF-1011,09/13/2025,09/13/2025,Rosario Aquino,Steamed Rice Full tray,,2,90,,
BOF-1012,09/20/2025,09/20/2025,Marco Castillo,Roasted Cochinillo 12-15 lbs,Pick-up - Birthday Party,1,450,Event: Birthday Party | Guests: 40 | Pick-up | Seen on: Facebook | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1012,09/20/2025,09/20/2025,Marco Castillo,Pork Menudo,,1,220,,
BOF-1012,09/20/2025,09/20/2025,Marco Castillo,Steamed Rice Full tray,,1,90,,
BOF-1013,09/27/2025,09/27/2025,Sheila Navarro,Roasted Lechon Extra-large 70-80 lbs,Delivery - Corporate Function,2,625,Event: Corporate Function | Guests: 250 | Delivery | Seen on: Instagram | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1013,09/27/2025,09/27/2025,Sheila Navarro,Beef Bistek Tagalog Full tray,,2,270,,
BOF-1013,09/27/2025,09/27/2025,Sheila Navarro,Steamed Rice Full tray,,4,90,,
BOF-1013,09/27/2025,09/27/2025,Sheila Navarro,Pansit Canton Bihon Full tray,,2,190,,
BOF-1014,10/04/2025,10/04/2025,Dennis Lim,Roasted Lechon Belly (half rolls) 8-11 lb,Delivery - Birthday Party,1,140,Event: Birthday Party | Guests: 70 | Delivery | Seen on: TikTok | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1014,10/04/2025,10/04/2025,Dennis Lim,Steamed Rice Full tray,,1,90,,
BOF-1014,10/04/2025,10/04/2025,Dennis Lim,Pork Siomai Full tray,,1,250,,
BOF-1015,10/11/2025,10/11/2025,Patricia Uy,Roasted Lechon Large 60-69 lbs,On Site service - Wedding Celebration,1,575,Event: Wedding Celebration | Guests: 130 | On Site service | Seen on: Facebook | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1015,10/11/2025,10/11/2025,Patricia Uy,Chop Suey Full tray,,1,250,,
BOF-1015,10/11/2025,10/11/2025,Patricia Uy,Pansit Canton Bihon Full tray,,1,190,,
BOF-1015,10/11/2025,10/11/2025,Patricia Uy,Steamed Rice Full tray,,2,90,,
BOF-1016,10/18/2025,10/18/2025,Rodrigo Flores,Roasted Lechon Belly (full rolls) 14-22 lbs,Delivery - Anniversary Milestone,1,260,Event: Anniversary Milestone | Guests: 160 | Delivery | Seen on: Instagram | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1016,10/18/2025,10/18/2025,Rodrigo Flores,Beef Kare Kare,,1,250,,
BOF-1016,10/18/2025,10/18/2025,Rodrigo Flores,Steamed Rice Full tray,,2,90,,
BOF-1017,10/25/2025,10/25/2025,Carmela Valdez,Roasted Lechon Belly 450g,Pick-up - Birthday Party,3,25,Event: Birthday Party | Guests: 45 | Pick-up | Seen on: Facebook | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1017,10/25/2025,10/25/2025,Carmela Valdez,Pork Menudo,,1,220,,
BOF-1017,10/25/2025,10/25/2025,Carmela Valdez,Steamed Rice Full tray,,1,90,,
BOF-1018,11/01/2025,11/01/2025,Nelson Tan,Roasted Lechon Medium 50-59 lbs,Delivery - Corporate Function,1,525,Event: Corporate Function | Guests: 85 | Delivery | Seen on: Facebook | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1018,11/01/2025,11/01/2025,Nelson Tan,Shanghai Rolls Full tray,,1,180,,
BOF-1018,11/01/2025,11/01/2025,Nelson Tan,Beef Bistek Tagalog Full tray,,1,270,,
BOF-1018,11/01/2025,11/01/2025,Nelson Tan,Steamed Rice Full tray,,2,90,,
BOF-1019,11/08/2025,11/08/2025,Analisa Pascual,Roasted Lechon Large 60-69 lbs,Delivery - Birthday Party,1,575,Event: Birthday Party | Guests: 110 | Delivery | Seen on: TikTok | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1019,11/08/2025,11/08/2025,Analisa Pascual,Pork Siomai Full tray,,1,250,,
BOF-1019,11/08/2025,11/08/2025,Analisa Pascual,Steamed Rice Full tray,,2,90,,
BOF-1019,11/08/2025,11/08/2025,Analisa Pascual,Pansit Canton Bihon Full tray,,1,190,,
BOF-1020,11/15/2025,11/15/2025,Gilbert Hernandez,Roasted Lechon Extra-large 70-80 lbs,On Site service - Wedding Celebration,1,625,Event: Wedding Celebration | Guests: 220 | On Site service | Seen on: Instagram | 50% deposit via Zelle to Perlas Ng Silangan Foods LLC (562)544-9882,50% deposit required to confirm. Balance due on/before delivery.
BOF-1020,11/15/2025,11/15/2025,Gilbert Hernandez,Chop Suey Full tray,,2,250,,
BOF-1020,11/15/2025,11/15/2025,Gilbert Hernandez,Beef Kare Kare,,1,250,,
BOF-1020,11/15/2025,11/15/2025,Gilbert Hernandez,Steamed Rice Full tray,,3,90,,
